aluno.numero_identificacao;questionario.data;questionario.questao_1;questionario.questao_2;questionario.questao_3;questionario.questao_4;questionario.questao_5;questionario.questao_6;questionario.questao_7;questionario.questao_8;questionario.questao_9;questionario.questao_10;questionario.questao_11;questionario.questao_12;questionario.questao_13;questionario.questao_14;questionario.questao_15;questionario.questao_16;questionario.questao_17;questionario.questao_18;questionario.questao_19;questionario.questao_20;questionario.questao_21;questionario.questao_22;questionario.questao_23;questionario.questao_24;questionario.questao_25;questionario.questao_26;questionario.questao_27;questionario.questao_28;questionario.questao_29;questionario.questao_30;questionario.questao_31;questionario.questao_32;questionario.questao_33;questionario.questao_34;questionario.questao_35;questionario.questao_36;questionario.questao_37;questionario.questao_38;questionario.questao_39;questionario.questao_40;questionario.questao_41;questionario.questao_42;questionario.questao_43;questionario.questao_44;questionario.questao_45;questionario.questao_46;questionario.questao_47;questionario.questao_48;questionario.questao_49;questionario.questao_50;questionario.questao_51;questionario.questao_52;questionario.questao_53;questionario.questao_54;questionario.questao_55;questionario.questao_56;questionario.questao_57;questionario.questao_58;questionario.questao_59;questionario.questao_60;questionario.questao_61;questionario.questao_62;questionario.questao_63;questionario.questao_64;questionario.questao_65;questionario.questao_66;questionario.questao_67;questionario.questao_68;questionario.questao_69;questionario.questao_70;questionario.questao_71;questionario.questao_72;questionario.questao_73;questionario.questao_74;questionario.questao_75;questionario.questao_76;questionario.questao_77;questionario.questao_78;questionario.questao_79;questionario.questao_80;questionario.questao_81;questionario.questao_82;questionario.questao_83;questionario.questao_84;questionario.questao_85;questionario.questao_86;questionario.questao_87;questionario.questao_88;questionario.questao_89;questionario.questao_90;questionario.questao_91;questionario.questao_92;questionario.questao_93;questionario.questao_94;questionario.questao_95;questionario.questao_96;questionario.questao_97;questionario.questao_98;questionario.questao_99;questionario.questao_100;questionario.questao_101;questionario.questao_102;questionario.questao_103;questionario.questao_104;questionario.questao_105;questionario.questao_106;questionario.questao_107;questionario.questao_108;questionario.questao_109;questionario.questao_110;questionario.questao_111;questionario.questao_112;questionario.questao_113;questionario.questao_114;questionario.questao_115;questionario.questao_116;questionario.questao_117;questionario.questao_118;questionario.questao_119;questionario.questao_120;questionario.questao_121;questionario.questao_122;questionario.questao_123;questionario.questao_124;questionario.questao_125;questionario.questao_126;questionario.questao_127;questionario.questao_128;questionario.questao_129;questionario.questao_130;questionario.questao_131;questionario.questao_132;questionario.questao_133;questionario.questao_134;questionario.questao_135;questionario.questao_136;questionario.questao_137;questionario.questao_138;questionario.questao_139;questionario.questao_140;questionario.questao_141;questionario.questao_142;questionario.questao_143;questionario.questao_144;questionario.questao_145;questionario.questao_146
HT37;2018-11-09;4;2;0;0;4;0;0;0;0;0;0;1;1;;6;1;1;1;0;4;0;0;1;0;0;0;1;1;1;0;2;3;1;0;1;1;0;4;2;1;1;2;2;2;0;0;6;1;5;1;1;0;5;;;;;;;[];;;5;0;2;3;0;;0;3;1;4;1;;;;;1;;3;1;0;5;0;0;0;0;0;2;1;;;;;0;0;4;0;0;0;3;1;;1;1;1;3;3;3;3;3;1;0;1;0;4;0;0;0;0;1;1;0;0;0;7;1;1;1;;2;0;0;1;2;12;0;0;1;1;2;0;1;1;1;['0', '3', '4']
HT40;2018-11-09;3;2;0;0;8;0;1;0;0;0;0;2;1;;4;0;0;1;0;0;0;0;3;2;0;1;1;1;0;1;3;5;1;1;5;2;1;5;2;4;2;;1;0;1;5;2;0;1;2;1;1;5;5;;;;;;[];;;0;1;2;6;3;6;2;2;6;5;1;;;;;0;0;0;0;0;8;2;2;7;0;0;2;1;;0;0;0;1;1;4;1;0;0;2;4;6;0;3;0;0;4;4;4;5;1;3;0;0;5;5;4;0;0;1;1;0;0;0;2;7;2;1;;1;1;0;2;0;4;0;0;0;0;2;0;1;1;1;['4']
HT45;2018-11-09;4;3;0;0;4;0;0;0;0;0;0;2;0;1;6;0;0;1;0;0;2;0;3;0;3;3;0;7;1;3;6;4;0;0;8;3;1;0;7;7;4;6;7;0;7;4;7;3;3;8;2;3;8;2;;;;;;[];;;1;0;2;5;3;6;2;0;2;6;1;;;;;;;4;;0;1;0;0;0;0;0;3;1;;0;0;0;1;0;4;2;1;0;1;1;;1;1;1;3;4;4;4;5;1;3;5;0;5;5;1;0;0;1;1;0;0;0;0;;;1;;0;1;0;9;0;4;0;0;0;1;2;3;1;1;1;['3', '4', '5']
HT29;2018-11-09;3;1;0;0;8;0;0;0;0;1;1;1;1;;7;1;1;0;0;2;2;0;4;0;1;1;0;0;4;4;3;6;0;0;4;2;1;1;3;1;3;0;8;0;3;5;1;0;7;5;2;3;6;1;;;;;;[];;;5;0;2;6;1;3;2;2;3;5;1;;;;;0;0;0;0;1;;;;;;;0;1;;0;0;0;5;0;4;1;2;1;0;3;6;0;3;0;3;3;4;2;4;2;1;0;0;0;;0;0;0;1;1;2;0;0;1;5;0;0;1;0;2;0;3;0;0;0;1;1;3;1;2;1;1;1;['2', '6', '7']
HT46;2018-11-09;3;2;0;0;3;0;0;0;0;0;1;3;1;;1;0;0;1;4;0;5;0;3;0;0;1;1;3;5;2;5;2;1;6;1;2;1;4;4;4;4;1;5;2;5;6;3;2;4;7;3;3;8;2;;;;;;[];;;0;;2;5;6;6;7;4;1;1;0;6;3;1;2;5;6;3;0;0;3;3;6;1;3;0;3;0;8;4;0;0;1;0;4;0;0;0;3;0;;1;0;2;3;4;4;4;4;1;3;0;0;3;5;4;4;0;1;1;0;0;0;1;7;2;1;;1;1;0;0;0;2;0;0;0;2;3;1;1;1;1;['4']
HT38;2018-11-09;4;2;0;0;4;0;1;0;0;0;1;2;1;;6;1;1;1;0;5;5;0;4;0;6;6;1;1;3;5;1;4;0;3;4;1;1;3;4;2;2;0;8;2;5;0;6;1;6;0;1;1;3;1;;;;;;[];;;0;;2;0;0;;0;1;1;8;0;6;0;0;0;0;0;4;3;0;6;1;2;4;1;2;3;0;6;0;0;0;3;0;2;0;0;1;1;3;3;0;0;3;1;3;4;4;4;2;0;0;5;5;3;1;1;0;1;0;1;1;0;6;9;1;1;;2;0;0;0;0;3;0;0;0;3;0;2;1;1;1;['4', '7']
HT31;2018-11-09;4;0;0;0;3;1;0;0;0;0;1;2;1;;6;1;;1;0;0;4;0;3;0;6;6;0;0;1;3;1;6;0;0;5;0;0;3;0;1;1;1;3;0;3;5;3;0;0;1;2;2;3;0;;;;;;[];;;0;;2;0;0;;0;1;1;7;1;;;;;;;0;0;1;;;;;0;;2;1;;;;;0;0;4;0;1;1;3;0;;1;1;2;3;4;4;3;4;1;0;0;0;5;0;0;0;0;1;1;0;0;0;0;9;0;1;;0;1;0;0;0;4;0;0;1;0;1;0;1;1;1;['3', '4']
HT28;2018-11-09;4;0;0;0;4;1;0;0;0;0;1;1;1;;6;1;;1;3;4;4;0;4;0;3;3;0;1;2;1;1;3;0;0;5;1;0;5;2;1;2;0;5;1;3;1;1;0;5;2;1;1;1;0;;;;;;[];;;0;;2;5;0;;0;1;0;4;1;;;;;0;0;0;0;1;;;;;;;1;;;;;;;;4;0;3;1;3;1;6;1;0;2;2;3;4;3;2;0;1;0;0;5;0;0;0;0;1;1;0;0;0;2;9;1;1;;2;2;0;0;0;12;0;1;1;1;2;1;1;1;1;['4']
HT01;2018-11-09;4;2;0;0;4;1;0;0;0;0;1;2;1;;6;1;;1;0;0;5;0;3;0;6;6;0;6;1;1;1;5;1;0;5;1;1;5;5;1;1;5;7;0;5;5;6;0;6;1;1;1;6;1;;;;;;[];;;0;;2;0;0;;0;0;1;7;1;;;;;;0;0;0;1;;;0;;0;0;2;1;;;;;0;0;4;0;2;0;4;0;;1;0;0;3;3;4;3;4;1;0;0;0;5;0;0;0;0;1;1;0;0;0;0;;0;1;;0;0;0;1;0;6;0;0;1;1;1;0;1;1;1;['0', '3', '4']
HT26;2018-11-09;3;0;0;0;8;1;0;0;0;0;1;2;1;;4;1;1;1;0;0;5;0;2;0;0;6;0;0;1;1;0;1;1;1;2;0;0;6;1;0;0;0;7;2;6;6;6;0;3;3;0;0;5;0;;;;;;[];;;0;;2;1;0;;0;1;2;6;1;;;;;0;0;0;0;1;;;;;0;0;2;1;;0;0;0;0;0;4;1;1;3;2;2;6;0;0;2;3;1;4;4;3;1;3;0;0;4;0;0;0;0;1;1;0;0;0;0;9;1;1;;2;1;0;0;0;12;0;1;1;3;3;0;1;1;1;['4']
HT32;2018-11-09;3;2;0;0;3;1;0;1;0;0;1;1;1;;7;0;0;1;4;3;0;2;1;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;3;0;0;2;0;0;2;2;0;2;5;0;5;0;0;;;;;;[];;;0;;2;0;2;0;0;1;0;1;0;7;1;4;0;2;6;4;0;0;5;1;2;7;1;0;3;1;;;;;1;0;4;0;1;0;2;1;6;1;0;1;3;1;4;1;5;0;0;0;0;5;0;0;2;0;1;1;1;0;0;0;8;0;1;;2;1;0;5;2;;0;0;3;3;3;0;1;1;1;['4']
HT23;2018-11-09;3;2;0;0;2;1;0;0;0;0;1;2;1;;7;0;0;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;5;1;2;0;1;3;0;0;1;2;5;5;1;2;1;1;1;1;7;0;;;;;;[];;;;;2;5;0;0;0;1;5;0;0;6;0;0;0;1;6;1;0;0;5;0;0;0;0;0;3;1;;;;;1;;3;2;1;1;1;0;;1;1;1;3;4;4;3;4;1;1;0;0;2;5;0;0;0;0;1;0;0;0;0;8;0;1;;1;2;1;9;1;12;0;0;0;1;3;1;1;1;1;['4']
HT19;2018-11-09;4;0;0;1;1;1;0;0;0;0;1;1;1;;6;1;;1;4;4;0;0;4;0;;1;1;1;1;1;1;1;0;1;2;2;1;2;2;2;1;0;5;1;2;1;1;1;3;2;1;1;1;1;;;;;;[];;;0;;2;5;0;;0;1;5;4;0;6;0;7;0;1;0;4;4;0;;1;3;4;;0;3;0;;0;0;0;2;;4;0;2;3;3;0;;1;0;2;3;3;4;3;3;1;3;0;0;4;0;0;2;0;1;1;0;0;0;0;;1;1;;1;1;0;2;2;;0;1;1;1;2;0;1;1;1;['3']
HT16;2018-11-09;4;2;0;1;2;1;0;0;0;0;1;2;1;;6;0;0;1;0;1;4;0;4;0;6;5;1;3;3;3;3;1;3;0;2;2;1;3;3;3;2;1;5;1;3;0;3;1;1;0;1;2;1;1;;;;;;[];;;6;2;2;5;2;3;6;4;7;8;1;;;;;;;0;0;1;;;;;;;5;1;;;;;;0;4;0;4;0;4;0;;1;1;0;3;2;4;4;5;1;3;0;0;5;5;4;0;0;1;1;0;0;1;7;9;2;1;;0;0;1;;2;;0;0;1;1;2;0;1;1;1;['0', '4']
HT21;2018-11-09;4;2;0;1;3;0;0;0;0;0;1;2;1;;6;1;1;1;0;0;1;0;3;0;6;6;1;5;2;1;2;1;1;1;2;3;1;2;2;2;2;1;8;1;5;5;2;1;3;5;2;2;5;2;;;;;;[];;;3;0;2;2;0;0;0;2;6;8;0;7;0;0;2;2;3;2;4;0;6;1;2;4;1;0;3;1;11;0;0;0;3;0;2;0;3;1;3;0;6;0;1;1;3;3;4;4;5;1;3;0;0;2;4;1;2;0;1;0;0;0;0;0;8;1;1;;0;0;0;9;2;6;0;1;1;1;1;0;1;1;1;['6']
HT42;2018-11-09;4;2;0;1;5;0;0;0;0;0;0;0;1;;7;0;1;1;4;4;4;0;3;2;8;8;0;0;0;0;0;1;0;2;3;0;0;3;0;0;0;0;8;1;3;0;3;2;3;2;0;0;0;0;0;;;;;[];;;7;3;2;4;5;4;4;2;2;0;0;7;0;4;0;3;6;2;0;0;6;4;6;1;2;0;3;0;7;0;0;0;1;0;3;0;0;0;1;3;6;1;0;4;1;1;2;1;4;1;3;0;2;2;5;1;0;2;1;0;7;3;3;7;9;0;0;2;2;0;0;0;0;3;0;0;0;0;1;2;1;1;1;['0']
HT10;2018-11-09;4;0;0;0;3;1;0;0;0;0;0;1;1;;6;1;1;1;0;0;5;0;3;0;6;1;0;0;1;1;1;3;0;0;5;0;0;3;0;0;0;0;5;0;3;3;2;0;3;0;0;1;0;1;;;;;;[];;;0;;2;5;0;;;1;0;2;1;;;;;0;0;0;0;;1;;;;;;1;1;;;;;;0;4;0;4;0;3;1;6;1;0;2;2;2;2;2;4;1;0;0;0;4;5;0;2;0;1;1;0;0;0;0;;1;1;;0;1;0;0;0;12;0;0;1;1;2;3;1;1;1;['0', '3', '4']
HT11;2018-11-09;4;2;0;1;1;1;0;0;0;1;1;3;1;;7;1;;1;4;0;0;0;1;2;5;5;0;1;1;5;2;2;0;0;5;5;2;5;5;5;2;1;5;2;2;5;5;0;2;5;1;2;5;1;;;;;;[];;;0;;2;1;0;;0;2;4;6;1;;;;;;;4;0;1;;;;;0;1;1;1;;;;;2;0;4;0;0;0;2;1;2;1;0;2;3;2;4;1;4;1;0;0;0;5;5;0;0;0;1;1;0;0;0;0;;0;1;;0;0;1;;0;6;0;0;1;3;3;1;1;1;1;['0', '3', '4', '6']
HT06;2018-11-09;3;2;0;0;4;1;0;0;0;0;1;2;1;1;7;1;;0;5;0;0;0;4;2;0;1;1;1;0;1;2;0;1;0;3;0;2;1;1;1;1;1;1;1;1;0;8;0;1;8;1;1;6;0;;;;;;[];;;0;;2;0;6;0;4;2;9;1;0;3;0;3;1;2;2;1;0;0;1;1;1;1;4;0;4;0;6;0;1;0;4;0;1;0;0;4;0;4;6;0;0;4;3;4;4;4;5;1;0;0;0;5;5;4;3;0;;0;0;0;1;3;0;0;1;;0;1;0;5;0;0;0;0;0;3;3;1;0;0;1;['3']
HT04;2018-11-09;4;0;0;0;3;1;0;0;0;0;1;1;1;;7;1;;1;0;0;0;0;3;2;3;0;0;2;0;3;3;0;0;0;6;3;0;6;1;3;0;1;8;0;0;4;6;0;3;5;2;0;5;0;;;;;;[];;;0;;2;6;0;;0;1;2;6;1;;;;;;;1;0;1;;;;;0;0;4;1;;;;;2;0;4;0;1;3;2;0;;0;1;1;3;1;4;4;4;1;3;0;0;5;0;0;2;0;1;1;0;0;0;2;9;0;1;;0;1;;9;2;;0;0;1;1;1;0;1;1;1;['3']
HT05;2018-11-09;3;2;0;0;2;1;0;0;0;0;1;1;1;;5;1;;1;4;0;0;2;2;0;0;4;5;6;0;0;5;0;2;6;5;3;3;2;4;2;0;0;5;4;0;0;4;0;4;5;0;1;6;0;;;;;;[];;;5;3;2;3;0;;1;1;0;4;0;7;0;0;0;0;0;0;0;0;3;1;4;4;1;0;4;1;;0;0;0;1;0;2;2;2;0;4;0;3;1;1;4;3;4;4;4;3;1;0;0;0;3;5;0;0;0;1;1;1;0;0;0;8;0;1;;2;1;0;1;0;6;0;0;1;1;2;3;1;1;1;['6', '7']
HT44;2018-11-09;1;2;0;;1;1;0;0;0;1;0;1;1;;7;1;1;1;0;0;4;0;3;0;1;7;2;7;2;3;0;4;1;4;4;4;2;4;1;2;0;0;0;1;1;0;1;1;1;2;0;1;1;1;;;;;;[];;;5;0;2;2;0;2;0;0;4;6;0;0;0;0;0;1;6;;0;1;;;;;;;;;;;;;;;3;0;1;1;1;0;;1;0;0;2;2;4;4;4;1;0;0;0;3;0;0;0;0;1;1;0;0;0;0;;;1;;2;0;1;0;0;;0;1;3;4;1;0;1;1;0;['3']
HT03;2018-11-09;4;2;0;0;3;1;0;0;0;0;0;1;1;;6;1;;1;0;0;4;0;3;0;0;0;0;3;6;2;4;3;1;1;6;1;3;3;3;1;2;1;6;3;5;5;5;0;6;5;2;2;5;1;;;;;;[];;;4;0;2;5;2;4;1;2;4;0;1;;;;;0;0;0;0;1;;;;;;;2;1;;;;;5;0;4;3;2;1;1;3;6;1;0;1;2;4;4;4;4;0;3;0;0;5;5;1;0;0;1;1;0;0;0;0;8;1;1;;0;0;0;0;0;5;0;1;0;1;3;1;1;1;1;['6']
HT02;2018-11-09;4;2;0;0;3;1;0;1;0;0;1;1;1;;1;0;0;1;0;4;4;0;3;0;3;3;1;1;2;2;2;0;0;0;6;2;2;2;4;4;3;0;8;0;6;3;2;3;3;8;4;1;6;4;;;;;;[];;;0;6;2;5;4;3;1;2;1;0;1;;0;0;0;1;0;1;0;0;7;0;0;0;0;0;3;1;;;;;;;4;4;1;0;4;2;6;1;0;1;3;4;4;4;5;1;1;0;0;5;0;0;0;0;1;1;0;1;0;0;9;0;1;;2;0;1;0;0;6;0;0;1;1;2;0;1;1;1;['6']
HT25;2018-11-09;4;0;0;0;4;0;0;0;0;0;1;2;1;;6;1;;1;0;0;5;0;3;0;3;4;4;4;1;4;4;4;2;0;4;1;3;0;4;1;1;0;8;1;3;0;8;0;8;8;1;3;8;1;;;;;;[];;;0;;2;2;0;;0;1;9;8;1;;;;;1;0;1;0;1;;0;0;0;;0;2;1;;0;0;0;0;;0;0;4;0;2;1;;1;1;2;3;4;4;4;5;1;1;0;0;3;3;4;1;0;1;1;0;0;0;0;8;1;1;;0;1;1;1;0;6;0;0;0;0;2;0;1;1;1;['3', '4']
HT33;2018-11-09;3;2;0;0;4;0;0;0;0;0;1;1;1;;7;1;1;1;5;0;0;0;3;0;0;0;5;5;0;2;6;2;5;5;5;5;2;2;6;6;7;2;8;2;6;2;6;2;8;7;4;8;8;6;0;;;;;[];;;;;2;1;0;;1;2;3;2;1;;0;0;0;1;0;0;0;0;3;0;0;0;0;1;4;1;;0;0;0;5;1;4;2;4;1;4;1;6;1;1;2;3;4;4;4;3;0;1;0;0;4;5;4;2;0;1;1;0;0;0;0;5;0;1;;2;1;1;1;2;;0;1;0;0;1;0;0;1;1;['0']
HT17;2018-11-09;4;0;0;0;4;0;0;0;0;0;1;3;1;;6;1;;1;0;0;0;0;1;0;1;1;1;3;1;2;1;8;5;0;5;1;2;5;2;1;2;2;5;1;5;5;5;0;2;1;1;2;6;1;;;;;;[];;;0;;2;3;0;;0;2;2;6;1;;;;;;;0;0;1;;;;;0;0;2;1;;;;;0;0;4;0;2;0;3;0;;1;1;0;3;2;2;3;3;2;0;0;0;5;0;0;3;0;1;1;0;0;0;0;;0;1;;0;1;0;0;0;6;0;0;1;1;2;0;1;1;1;['3', '4']
139C;2018-10-17;5;2;0;0;6;1;0;0;0;0;1;2;1;;7;1;1;1;5;3;0;0;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;;0;;4;0;1;1;8;1;;0;0;1;0;;0;0;1;0;0;0;0;0;0;5;1;;0;0;0;5;0;0;0;3;0;2;2;6;0;0;1;3;2;4;3;3;1;3;0;0;5;0;4;0;0;0;0;0;2;0;5;3;2;1;;0;0;1;5;2;;0;1;2;1;2;2;1;1;1;[]
1615;2018-10-18;1;3;0;1;1;1;0;0;0;0;1;1;1;;5;1;1;1;0;0;4;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;;6;2;6;6;4;1;4;1;;0;0;0;2;;1;0;0;7;1;1;7;0;0;3;;;0;0;0;0;0;3;0;4;0;2;1;6;1;1;2;2;4;4;3;4;1;2;0;0;5;0;1;0;0;1;1;0;0;0;7;5;0;1;;2;1;0;0;0;0;0;0;0;3;3;1;1;;1;['4']
1805;2018-10-17;1;2;0;0;4;1;0;0;1;0;1;1;1;;3;1;1;1;0;0;3;0;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;0;2;4;0;6;0;2;9;4;1;;;;;0;;3;0;1;;0;;;0;0;0;1;;0;0;0;0;0;0;0;0;0;1;;1;1;1;3;3;1;4;4;;1;1;;1;5;2;0;;0;1;1;0;0;1;2;9;0;1;;1;0;0;0;0;6;0;0;1;0;2;0;1;1;1;['3']
1869;2018-10-02;5;2;0;0;3;0;0;0;0;0;1;2;1;;7;1;1;1;5;0;0;0;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;;4;;;2;1;0;0;1;;0;0;0;2;6;1;4;1;;0;0;0;0;0;3;1;;0;0;0;1;1;1;1;1;0;1;1;6;1;0;1;3;1;1;1;5;1;1;0;0;2;2;2;0;1;1;0;0;0;0;0;;0;1;;0;0;0;0;0;6;0;0;1;1;2;3;1;1;1;[]
1270;2018-10-17;3;2;1;1;9;1;0;0;0;0;1;4;1;;1;1;1;1;4;0;0;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;0;0;1;0;0;1;1;7;1;;0;0;0;0;;0;0;1;;0;0;0;0;0;2;1;0;0;0;0;5;0;;1;0;2;0;3;6;1;0;2;2;2;4;2;3;0;2;0;0;2;0;0;0;0;1;1;0;0;0;0;;1;1;;2;1;0;2;0;6;0;0;0;2;3;1;1;1;1;['4', '5']
4225;2018-10-17;4;2;0;0;4;1;0;0;0;0;1;2;1;;6;1;1;1;4;0;0;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;2;2;0;0;0;2;0;4;1;;0;0;0;;0;0;0;1;;0;0;0;0;0;3;1;;0;0;0;2;0;4;0;2;0;3;3;6;1;0;2;3;1;4;2;4;0;2;0;0;5;0;0;2;0;1;1;0;0;0;7;9;1;1;;1;2;0;2;0;6;0;0;1;2;2;1;1;1;1;[]
1973;2018-10-02;5;2;0;0;3;0;0;1;0;0;1;1;1;;7;1;1;1;4;5;0;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;;4;;;0;1;1;2;1;;0;0;0;0;;2;1;1;0;0;0;0;0;0;3;1;;0;0;0;2;0;4;0;0;2;1;2;2;1;0;2;1;1;3;2;3;1;2;0;0;2;0;0;2;2;1;0;5;0;2;0;5;0;1;;1;1;0;5;0;4;0;0;2;2;1;0;1;1;1;[]
1499;2018-10-17;3;2;0;0;3;1;0;0;0;0;1;4;0;;6;0;0;1;0;0;2;0;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;1;0;;3;2;2;1;6;5;1;;0;0;0;0;;1;0;0;7;3;3;7;3;0;2;1;;0;0;0;1;0;1;2;1;0;2;1;2;1;0;1;3;4;4;2;4;1;3;0;0;5;0;4;2;0;1;1;2;0;0;0;7;0;0;4;1;3;0;9;1;12;0;0;1;1;3;0;1;1;1;['4']
1606;2018-10-17;2;0;0;0;3;1;0;0;0;0;0;2;1;;4;1;1;1;0;5;4;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;3;3;2;5;7;4;2;2;1;;0;0;0;0;;4;0;0;0;2;1;8;0;0;2;1;;0;0;0;3;0;0;1;0;0;0;0;3;1;1;0;3;1;4;2;5;1;3;0;0;1;5;2;2;0;1;1;0;1;2;2;0;2;1;;0;1;1;0;0;4;1;1;2;3;1;2;1;1;1;['0']
1697;2018-10-02;2;2;0;0;5;0;1;0;0;1;0;2;1;;5;1;1;1;4;0;0;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;2;3;;2;;0;1;2;5;5;1;0;0;0;0;0;;1;0;1;0;0;0;0;0;0;1;1;;0;0;0;1;0;1;1;1;1;2;0;6;1;1;2;3;4;4;4;4;2;3;0;0;0;0;0;0;0;1;0;2;0;0;0;;1;0;0;2;1;0;2;2;;0;1;1;3;2;2;1;1;0;[]
1432;2018-10-17;5;1;0;0;3;0;0;0;0;0;1;2;1;;7;1;1;1;0;5;4;0;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;0;;2;2;0;2;6;7;1;;0;0;1;0;;2;2;0;1;1;2;6;1;0;4;1;;0;0;0;1;0;1;0;2;1;0;3;2;0;0;2;2;1;4;1;5;0;3;0;0;5;0;1;4;3;0;0;7;4;2;1;2;2;1;;2;3;0;0;0;0;0;0;3;4;4;1;1;1;1;['3']
4215;2018-11-07;4;0;0;0;4;0;1;0;0;0;1;2;1;0;1;1;1;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;1;1;0;;0;1;4;3;1;0;0;0;1;;0;0;0;0;1;0;0;0;1;1;1;1;;0;0;0;0;0;4;1;2;2;1;2;3;0;1;0;1;1;1;1;2;0;0;0;0;5;0;0;0;0;1;1;0;0;0;0;;0;1;;1;0;0;9;2;;0;0;1;2;2;0;1;1;1;['0']
1853;2018-10-17;3;0;0;0;3;0;0;0;0;0;0;3;1;;5;1;1;1;5;0;4;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;;0;2;2;0;8;1;;0;0;0;1;;4;1;0;8;1;1;7;0;1;4;1;;0;0;0;5;0;;0;2;2;0;3;6;1;0;3;3;0;4;3;0;0;3;0;0;5;0;0;2;0;1;1;1;0;0;2;9;1;1;;1;1;0;2;0;4;0;0;0;3;3;0;1;1;1;['3', '4']
1041;2018-10-17;3;0;0;0;3;1;0;0;0;0;1;3;1;;6;1;1;1;0;0;5;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;;0;;;0;1;0;0;1;;0;0;0;0;;0;0;1;;0;0;0;0;0;2;1;;0;0;0;1;0;0;3;3;0;2;4;6;1;0;2;2;4;4;3;4;1;2;0;0;5;0;0;1;0;1;1;0;0;0;0;;1;1;;0;1;0;1;0;6;0;0;1;2;2;0;1;1;1;['0', '3', '4', '5']
1044;2018-10-17;1;4;0;0;3;1;0;1;0;0;1;1;1;;4;1;1;1;0;0;4;0;4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;3;2;3;3;6;3;3;9;8;1;;0;0;0;0;;1;0;1;;0;0;0;0;0;5;1;;0;0;0;5;0;4;0;0;0;2;2;6;0;0;0;3;2;4;2;3;2;3;0;0;4;0;0;2;1;0;0;0;1;0;0;2;2;1;;0;1;1;0;0;2;0;0;0;0;2;1;1;1;1;['3']
4240;2018-10-17;4;0;0;1;3;1;0;1;0;1;1;2;1;;4;1;1;1;4;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;1;0;0;;0;1;3;5;1;;0;0;0;0;;0;0;1;;0;0;0;0;0;0;1;;0;0;0;0;0;3;0;2;0;1;0;;1;1;3;3;3;4;2;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;8;0;1;;1;4;1;9;2;;0;0;2;2;1;0;1;1;1;['0']
1257;2018-10-17;4;0;0;1;3;1;0;0;0;0;1;;1;;6;1;1;1;0;2;0;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;0;;2;2;0;;0;1;1;3;1;;;;;;;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;3;0;3;0;3;0;;1;0;1;3;2;4;3;3;1;1;0;0;5;5;0;0;0;1;1;0;1;0;0;;1;1;;0;1;0;6;0;6;0;0;2;1;2;0;1;1;1;['0', '3', '4', '7']
1083;2018-12-17;3;1;0;0;3;1;1;0;1;0;1;2;1;;5;1;1;1;0;0;0;0;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[];;;;;;;;6;1;3;0;2;1;;0;0;0;0;;0;0;1;;;0;0;0;0;1;1;;0;0;0;5;2;3;3;0;2;1;4;6;1;1;0;2;;1;4;3;0;0;1;1;5;5;4;0;0;0;0;1;1;1;7;9;1;1;;4;2;0;6;0;12;1;1;0;1;0;2;1;1;1;[]
